Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	0.72		24*16*23 см		1 год	производителем	30-100 *С	0.8		Да		включения	1	1	1.8		металл		Да				Да			1500						новый		нажатие		Китай		закрытая спираль			нержавеющая сталь / черный	отсутствует		отсутствует
	1.05	новый	24.3*21.3*15.5 см		1 год	производителем	100-100 *С	0.6				включения, уровня воды	1	1	1.7		стекло/ нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		скрытый нагревательный элемент	Да		белый/ серебристый/ черный	синий		отсутствует
	1		22.5*24.2*15.2 см		1 год	производителем	100 *С	0.7				включения	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200								полностью съемная		Китай		диск	Да		черный	отсутствует		отсутствует
	1.4	новый	25*18*22 см		1 год	производителем	100 *С					включения, уровня воды	1	1	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		ТЭН	Да		зеленый	отсутствует		отсутствует
	1.21		22.3*30.5*21.6 см		1 год	производителем	50-100 *С	0.7			Да	включения, температуры	11	1	0.8		нержавеющая сталь/ стекло		Да	Да	Да	Да	Да		Да	1300		Да					Да	полностью съемная		Китай		диск		поддержание температуры	нержавеющая сталь/ черный		Да	отсутствует
	1.25		24.5*17*24.2 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		закрытая спираль	Да		черный	голубой	Да	отсутствует
	0.85	новый	23*15.5*21 см		1 год	производителем	100-100 *С	0.75					1	1	1.8		нержавеющая сталь		Да	Да	Да		Да		Да	2200						новый				Китай		диск	Да		графитовый			
	0.622		19.31*20*14.05 см		2 года	производителем	100 *С	0.7				включения, уровня воды	1	1	1		пластик		Да		Да		Да		Да	1100						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	1.01		22*22*16.5 см		1 год	производителем	1-100 *С	0.75				включения, уровня воды	1	1	1.8		сталь/ пластик/ стекло		Да	Да			Да		Да	1800						новый		кнопка на корпусе		Китай		диск	Да		красный/ черный			отсутствует
	1.03		16*16*27 см		1 год	производителем	5-100 *С	0.7				включения	1	1	1.7		нержавеющая сталь		Да	Да			Да			2200								полностью съемная		Китай		диск			бирюзовый/ серебристый			отсутствует
	0.84		24.1*21.5*15.8 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		ТЭН	Да		черный			отсутствует
	1.7	новый			1 год	производителем	100 *С					включения	1	1	1.7		керамика		Да	Да	Да		Да			1800						новый		полностью съемная		Китай		ТЭН			белый	отсутствует		отсутствует
	1.03		26*25.6*16 см		1 год	производителем	40-100 *С	0.6			Да	включения, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да			Да	кнопка на корпусе		Китай		ТЭН		поддержание температуры	белый			отсутствует
	2.66	новый	26*46*24 см		1 год	производителем	50-100 *С	0.7	Да			включения, температуры	6	1	1.7		пластик/ стекло		Да	Да	Да				Да	2200		Да		Да		новый	Да	нажатие		Китай		скрытый нагревательный элемент	Да	заваривание чая, поддержание температуры	черный/ прозрачный	синий	Да	отсутствует
